date,period,word_count,sentiment,relationships_count,work_projects_count,self_reflection_count,emotional_struggle_count,achievement_count
2018-08-24,post_graduation,411,0.05969308469308469,2,0,4,0,0
2018-09-18,post_graduation,395,0.07593750000000002,2,2,2,1,0
2018-10-01,post_graduation,925,0.11367931896282409,1,3,5,0,1
2018-10-11,post_graduation,931,0.11066260518507708,1,2,4,0,2
2018-10-12,post_graduation,306,0.0634436026936027,0,1,1,0,0
2018-10-15,post_graduation,291,0.11060606060606062,0,0,5,1,0
2018-10-19,post_graduation,615,0.08862834696168029,1,2,2,0,2
2018-10-21,post_graduation,77,0.225,0,0,0,0,0
2018-10-21,post_graduation,774,0.05540613364687437,1,1,1,2,1
2018-10-23,post_graduation,722,0.07454074074074075,3,1,4,3,1
2018-10-31,post_graduation,931,0.136042471042471,3,4,5,0,1
2018-11-12,post_graduation,872,0.09943811895866692,2,3,3,2,2
2018-11-16,post_graduation,788,0.12091424448567306,2,5,5,0,2
2018-11-19,post_graduation,418,0.007699275362318859,2,3,2,1,1
2018-11-26,post_graduation,1346,0.019126084940038434,2,4,5,1,4
2018-11-29,post_graduation,1167,0.1553381700603923,7,4,7,2,3
2018-12-03,post_graduation,973,0.08375258799171839,7,1,5,1,1
2018-12-03,post_graduation,1527,0.09988992547536849,7,6,6,0,3
2018-12-04,post_graduation,646,0.07367149758454107,5,2,3,2,2
2018-12-04,post_graduation,458,0.11803706709956711,2,2,2,2,0
2018-12-11,post_graduation,147,0.02333333333333333,2,0,1,3,0
2018-12-12,post_graduation,448,-0.011904761904761894,0,0,3,0,1
2018-12-13,post_graduation,54,0.35,0,0,0,0,0
2018-12-14,post_graduation,34,0.027840909090909093,0,0,0,0,0
2018-12-17,post_graduation,321,0.08333333333333336,0,1,1,0,1
2018-12-30,post_graduation,461,-0.03182062190682881,1,0,2,0,0
2019-01-02,post_graduation,358,0.13762345679012344,0,0,0,0,1
2019-01-06,post_graduation,64,0.2005952380952381,0,0,0,0,0
2019-01-07,post_graduation,244,0.013528138528138525,0,3,3,0,1
2019-01-13,post_graduation,485,0.05024154589371982,1,3,4,2,2
2019-01-24,post_graduation,250,0.04301698301698301,0,3,5,1,0
2019-02-01,post_graduation,364,-0.04490546218487394,1,1,1,2,1
2019-02-11,post_graduation,546,0.14500473484848483,2,1,2,1,1
2019-04-13,post_graduation,403,0.10419561059095944,0,3,4,1,0
2019-04-16,post_graduation,222,-0.18805555555555556,0,2,4,0,0
2019-04-22,post_graduation,643,0.09179258131639083,2,2,5,0,0
2019-05-01,post_graduation,338,0.1154040404040404,0,6,3,0,0
2019-05-02,post_graduation,27,0.0,0,1,0,0,0
2019-05-13,post_graduation,310,0.026488095238095238,1,3,5,1,0
2019-05-15,post_graduation,291,0.04733333333333333,0,1,3,2,1
2019-05-30,post_graduation,878,0.11021279190293276,2,6,2,3,3
2019-06-08,post_graduation,634,0.07597952894563065,4,2,4,3,0
2019-06-10,post_graduation,836,0.04011013496307613,2,2,7,1,3
2019-06-18,post_graduation,290,0.01287878787878788,0,3,2,0,0
2019-06-18,post_graduation,880,0.021020074696545286,2,1,3,1,2
2019-06-26,post_graduation,370,0.2527083333333333,2,0,1,1,2
2019-07-03,post_graduation,480,0.10651249335459863,1,3,2,1,3
2019-07-08,post_graduation,9,0.15,0,0,0,0,0
2019-07-09,post_graduation,519,-0.054117063492063515,3,1,4,2,0
2019-07-10,post_graduation,273,0.03159722222222223,0,4,3,2,1
2019-07-11,post_graduation,102,0.3,0,1,1,0,2
